Kód ADM,Kód obce,Název obce,Název MOMC,Název MOP,Kód èásti obce,Název èásti obce,Název ulice,Typ SO,Èíslo domovní,Èíslo orientaèní,Znak èísla orientaèního,PSÈ,Souøadnice Y,Souøadnice X,Platí Od,Jednoøádková adresa,Èíslo volebního okrsku,,
21774579,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,758,102,,13000,741078,83,1043795,32,10.07.2017,Boøivojova 758/102~Žižkov~13000 Praha 3,3001
21774609,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,761,97,,13000,741149,7,1043828,41,10.07.2017,Boøivojova 761/97~Žižkov~13000 Praha 3,3001
21774617,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,761,13,,13000,741137,42,1043834,82,10.07.2017,Ježkova 761/13~Žižkov~13000 Praha 3,3001
21774625,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,762,11,,13000,741148,22,1043852,5,10.07.2017,Ježkova 762/11~Žižkov~13000 Praha 3,3001
21774714,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,771,112,,13000,741160,89,1043812,88,10.07.2017,Boøivojova 771/112~Žižkov~13000 Praha 3,3001
21774820,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,779,12,,13000,741248,1,1043801,73,10.07.2017,U Rajské zahrady 779/12~Žižkov~13000 Praha 3,3001
21774994,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,795,120,,13000,741217,28,1043825,3,10.07.2017,Boøivojova 795/120~Žižkov~13000 Praha 3,3001
21775010,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,797,107,,13000,741228,76,1043844,96,10.07.2017,Boøivojova 797/107~Žižkov~13000 Praha 3,3001
21775028,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,797,8,,13000,741235,34,1043856,1,10.07.2017,U Rajské zahrady 797/8~Žižkov~13000 Praha 3,3001
21775044,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,799,27,,13000,741076,71,1043698,6,10.07.2017,Vlkova 799/27~Žižkov~13000 Praha 3,3001
21775087,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Krásova,è.p.,801,23,,13000,741056,59,1043685,42,10.07.2017,Krásova 801/23~Žižkov~13000 Praha 3,3001
21775095,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,801,29,,13000,741063,2,1043694,9,10.07.2017,Vlkova 801/29~Žižkov~13000 Praha 3,3001
21775141,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,806,118,,13000,741206,14,1043822,67,10.07.2017,Boøivojova 806/118~Žižkov~13000 Praha 3,3001
21775176,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,809,14,,13000,741251,1,1043785,83,10.07.2017,U Rajské zahrady 809/14~Žižkov~13000 Praha 3,3001
21775257,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,816,104,,13000,741097,74,1043799,3,10.07.2017,Boøivojova 816/104~Žižkov~13000 Praha 3,3001
21775273,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,818,99,,13000,741171,35,1043833,14,10.07.2017,Boøivojova 818/99~Žižkov~13000 Praha 3,3001
21775303,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,821,23,,13000,741099,98,1043702,66,22.06.2017,Vlkova 821/23~Žižkov~13000 Praha 3,3001
21775320,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Øehoøova,è.p.,823,2,,13000,741469,43,1043413,6,10.07.2017,Øehoøova 823/2~Žižkov~13000 Praha 3,3001
21775338,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,823,9,,13000,741463,48,1043425,84,10.07.2017,Seifertova 823/9~Žižkov~13000 Praha 3,3001
21775567,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,847,4,,13000,741151,6,1043890,88,10.07.2017,Ježkova 847/4~Žižkov~13000 Praha 3,3001
21775575,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,848,6,,13000,741144,85,1043880,41,10.07.2017,Ježkova 848/6~Žižkov~13000 Praha 3,3001
21775818,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Øehoøova,è.p.,876,1,,13000,741483,7,1043402,36,10.07.2017,Øehoøova 876/1~Žižkov~13000 Praha 3,3001
21775826,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,876,7,,13000,741498,56,1043405,33,10.07.2017,Seifertova 876/7~Žižkov~13000 Praha 3,3001
21775877,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,883,116,,13000,741191,28,1043819,63,10.07.2017,Boøivojova 883/116~Žižkov~13000 Praha 3,3001
21776270,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,921,8,,13000,741136,4,1043867,24,10.07.2017,Ježkova 921/8~Žižkov~13000 Praha 3,3001
21776555,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,944,9,,13000,741156,66,1043865,22,10.07.2017,Ježkova 944/9~Žižkov~13000 Praha 3,3001
21776628,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vozová,è.p.,953,5,,13000,741334,59,1043865,79,22.06.2017,Vozová 953/5~Žižkov~13000 Praha 3,3001
21776636,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,954,2,,13000,741224,2,1043906,41,10.07.2017,U Rajské zahrady 954/2~Žižkov~13000 Praha 3,3001
21776644,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,955,12,,13000,741120,19,1043841,92,10.07.2017,Ježkova 955/12~Žižkov~13000 Praha 3,3001
21776652,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,956,4,,13000,741228,25,1043887,84,10.07.2017,U Rajské zahrady 956/4~Žižkov~13000 Praha 3,3001
21776725,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,963,2,,13000,741161,5,1043905,4,10.07.2017,Ježkova 963/2~Žižkov~13000 Praha 3,3001
21776733,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Kubelíkova,è.p.,963,1,,13000,741154,13,1043912,83,10.07.2017,Kubelíkova 963/1~Žižkov~13000 Praha 3,3001
21776750,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,965,6,,13000,741231,97,1043872,31,10.07.2017,U Rajské zahrady 965/6~Žižkov~13000 Praha 3,3001
21776920,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,982,25,,13000,741337,3,1043452,89,10.07.2017,Seifertova 982/25~Žižkov~13000 Praha 3,3001
21776997,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,988,21,,13000,741364,94,1043447,24,10.07.2017,Seifertova 988/21~Žižkov~13000 Praha 3,3001
21777004,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,989,23,,13000,741353,5,1043449,92,10.07.2017,Seifertova 989/23~Žižkov~13000 Praha 3,3001
21777055,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,994,27,,13000,741319,16,1043457,5,10.07.2017,Seifertova 994/27~Žižkov~13000 Praha 3,3001
21777063,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,995,29,,13000,741299,84,1043461,51,10.07.2017,Seifertova 995/29~Žižkov~13000 Praha 3,3001
21777071,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,996,31,,13000,741282,75,1043464,78,10.07.2017,Seifertova 996/31~Žižkov~13000 Praha 3,3001
21777098,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,998,103,,13000,741199,72,1043839,21,10.07.2017,Boøivojova 998/103~Žižkov~13000 Praha 3,3001
21777101,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,999,101,,13000,741184,52,1043835,5,10.07.2017,Boøivojova 999/101~Žižkov~13000 Praha 3,3001
21777179,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,1007,105,,13000,741213,23,1043841,58,10.07.2017,Boøivojova 1007/105~Žižkov~13000 Praha 3,3001
21777195,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,1009,7,,13000,741164,77,1043877,37,10.07.2017,Ježkova 1009/7~Žižkov~13000 Praha 3,3001
21777276,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,1019,18,,13000,741273,32,1043731,8,10.07.2017,U Rajské zahrady 1019/18~Žižkov~13000 Praha 3,3001
21777284,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,1019,1,,13000,741258,36,1043737,3,10.07.2017,Vlkova 1019/1~Žižkov~13000 Praha 3,3001
21777306,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,1021,19,,13000,741376,83,1043444,87,22.06.2017,Seifertova 1021/19~Žižkov~13000 Praha 3,3001
21777454,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,1034,1,,13000,741189,42,1043916,88,10.07.2017,Ježkova 1034/1~Žižkov~13000 Praha 3,3001
21777462,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vozová,è.p.,1034,7,,13000,741199,89,1043920,93,10.07.2017,Vozová 1034/7~Žižkov~13000 Praha 3,3001
21777551,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,1043,5,,13000,741172,87,1043889,87,10.07.2017,Ježkova 1043/5~Žižkov~13000 Praha 3,3001
21777560,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,1044,3,,13000,741180,64,1043902,7,10.07.2017,Ježkova 1044/3~Žižkov~13000 Praha 3,3001
21777691,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,1054,10,,13000,741128,64,1043854,75,10.07.2017,Ježkova 1054/10~Žižkov~13000 Praha 3,3001
21777705,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,1055,20,,13000,741284,94,1043714,8,10.07.2017,U Rajské zahrady 1055/20~Žižkov~13000 Praha 3,3001
21779279,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,1192,93,,13000,741083,22,1043813,89,10.07.2017,Boøivojova 1192/93~Žižkov~13000 Praha 3,3001
21782938,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,1507,91,,13000,741063,3,1043809,84,10.07.2017,Boøivojova 1507/91~Žižkov~13000 Praha 3,3001
21786798,554782,Praha,Praha 3,Praha 3,490261,Žižkov,námìstí Winstona Churchilla,è.p.,1800,2,,13000,741341,72,1043543,59,11.12.2013,námìstí Winstona Churchilla 1800/2~Žižkov~13000 Praha 3,3001
21787263,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Siwiecova,è.p.,1839,1,,13000,741313,2,1043604,98,10.07.2017,Siwiecova 1839/1~Žižkov~13000 Praha 3,3001
22701451,554782,Praha,Praha 3,Praha 3,490261,Žižkov,námìstí Winstona Churchilla,è.p.,1839,3,,13000,741355,63,1043594,7,22.06.2017,námìstí Winstona Churchilla 1839/3~Žižkov~13000 Praha 3,3001
25601091,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,1839,24,,13000,741345,54,1043603,31,22.06.2017,U Rajské zahrady 1839/24~Žižkov~13000 Praha 3,3001
28075811,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,1839,26,,13000,741325,2,1043608,18,22.06.2017,U Rajské zahrady 1839/26~Žižkov~13000 Praha 3,3001
21787271,554782,Praha,Praha 3,Praha 3,490261,Žižkov,námìstí Winstona Churchilla,è.p.,1840,1,,13000,741370,1043487,8,10.07.2017,námìstí Winstona Churchilla 1840/1~Žižkov~13000 Praha 3,3001,
21787280,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,1840,2,,13000,741359,59,1043484,7,10.07.2017,Seifertova 1840/2~Žižkov~13000 Praha 3,3001
21787298,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,1840,4,,13000,741342,35,1043488,56,10.07.2017,Seifertova 1840/4~Žižkov~13000 Praha 3,3001
21787301,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,1840,6,,13000,741319,16,1043493,2,10.07.2017,Seifertova 1840/6~Žižkov~13000 Praha 3,3001
21787310,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,1840,8,,13000,741299,25,1043497,48,10.07.2017,Seifertova 1840/8~Žižkov~13000 Praha 3,3001
21788197,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,1912,3,,13000,741393,86,1043595,29,22.06.2017,U Rajské zahrady 1912/3~Žižkov~13000 Praha 3,3001
